xCol-Time-min	parCol-Stimulus	pIL4Ra_obs	stdCol-pIL4Ra_obs	pJAK2_obs	stdCol-pJAK2_obs	IL13-cell_obs	stdCol-IL13-cell_obs	RecSurf_obs	stdCol-RecSurf_obs	SOCS3mRNA_obs	stdCol-SOCS3mRNA_obs	pSTAT5_obs	stdCol-pSTAT5_obs	SOCS3_obs	stdCol-SOCS3_obs	CD274mRNA_obs	stdCol-CD274mRNA_obs				
0.0	1	NaN	NaN	NaN	NaN	0.616	0.651	1.289752779	0.059	1.562357019	8.17226427	NaN	NaN	8.33	23.75	0	0.43				
5.0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				
10.0	1	NaN	NaN	NaN	NaN	NaN	NaN	1.57854438	0.059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				
15.0	1	NaN	NaN	NaN	NaN	0.296	0.635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				
20.0	1	NaN	NaN	NaN	NaN	NaN	NaN	1.515091272	0.059	0.992868163	7.805912089	NaN	NaN	6.44	23.57	NaN	NaN				
30.0	1	NaN	NaN	NaN	NaN	0.322	0.636	1.50496416	0.059	14.83449477	16.71023049	NaN	NaN	NaN	NaN	-0.105611482	0.419438852				
40.0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.675177	14.67784136	NaN	NaN	7.62	23.68	NaN	NaN				
50.0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				
60.0	1	NaN	NaN	NaN	NaN	0.170	0.628	1.617802874	0.059	11.62681448	14.64672975	NaN	NaN	8.69	23.78	0.042114502	0.43421145				
80.0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.710282463	10.84062471	NaN	NaN	NaN	NaN	NaN	NaN				
90.0	1	NaN	NaN	NaN	NaN	0.258	0.633	1.572371701	0.059	1.243430459	7.967098815	NaN	NaN	13.30	24.22	-0.038136714	0.426186329				
100.0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.659244766	7.591292158	NaN	NaN	NaN	NaN	NaN	NaN				
120.0	1	NaN	NaN	NaN	NaN	0.232	0.631	1.430619477	0.059	14.54733886	16.52550309	NaN	NaN	16.43	24.51	0.009833619	0.430983362				
0.0	2	0.338107913	0.23439187	0.1871	0.1114	NaN	NaN	1.40469351	0.059	NaN	NaN	1.598406966	4.716731728	NaN	NaN	NaN	NaN				
2.5	2	NaN	NaN	0.5336	0.2167	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				
4.0	2	1.084337349	0.316477108	0.6451	0.2506	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				
5.0	2	0.539111503	0.256502265	0.6394	0.2489	1.186	0.679	NaN	NaN	NaN	NaN	2.012148639	4.787564302	NaN	NaN	NaN	NaN				
7.0	2	0.299787385	0.230176612	0.2452	0.1291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				
7.5	2	NaN	NaN	0.1525	0.1009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				
10.0	2	0.845156744	0.290167242	0.8347	0.3082	1.458	0.693	1.36298049	0.059	NaN	NaN	7.644693901	5.751856051	NaN	NaN	NaN	NaN				
12.5	2	NaN	NaN	1.4584	0.4977	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				
15.0	2	1.175990856	0.326558994	1.2889	0.4462	1.797	0.710	NaN	NaN	NaN	NaN	30.339995	9.637291599	NaN	NaN	NaN	NaN				
17.5	2	1.35788895	0.346567784	1.2754	0.4421	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				
20.0	2	1.442254159	0.355847957	1.4329	0.4899	1.783	0.709	1.333586237	0.059	NaN	NaN	34.49644889	10.34887651	NaN	NaN	NaN	NaN				
22.5	2	1.123066049	0.320737265	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				
25.0	2	1.551873086	0.367906039	0.8428	0.3106	NaN	NaN	NaN	NaN	NaN	NaN	54.73958911	13.81450211	NaN	NaN	NaN	NaN				
30.0	2	1.147885063	0.323467357	1.3672	0.4699	2.295	0.735	1.210536056	0.059	NaN	NaN	48.86794422	12.80927651	NaN	NaN	NaN	NaN				
35.0	2	0.995444907	0.30669894	1.7532	0.5872	NaN	NaN	NaN	NaN	NaN	NaN	57.76829847	14.33301715	NaN	NaN	NaN	NaN				
40.0	2	1.242317637	0.33385494	1.4344	0.4904	2.470	0.743	NaN	NaN	NaN	NaN	68.400004	16.15316514	NaN	NaN	NaN	NaN				
45.0	2	1.28102483	0.338112731	1.0370	0.3696	NaN	NaN	NaN	NaN	NaN	NaN	57.5319745	14.29255849	NaN	NaN	NaN	NaN				
50.0	2	1.194533888	0.328598728	1.1503	0.4041	2.515	0.746	NaN	NaN	NaN	NaN	84.08635186	18.83866789	NaN	NaN	NaN	NaN				
