Row,Rec,Rec_i,IL13_Rec,p_IL13_Rec,p_IL13_Rec_i,JAK2,pJAK2,SHP1,STAT5,pSTAT5,SOCS3mRNA,DecoyR,IL13_DecoyR,SOCS3,CD274mRNA,IL13
Rec,-0.111092118800002,0.103346000000004,0.00774611880000049,0,0,0,0,0,0,0,0,0,0,0,0,0
Rec_i,0.00135597999999985,-0.00135597999999985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL13_Rec,0,0,-117.434229932304,117.434229932304,0,-0.420555740959971,0.420555740959971,0,0,0,0,0,0,0,0,0
p_IL13_Rec,0,0,0,-0.152539999999986,0.152539999999986,-0.420555740945917,0.420555740945917,0,0,0,0,0,0,0,0,0
p_IL13_Rec_i,0,0,0,0,-0.172928,0,0,0,0,0,0,0,0,0,0,0
JAK2,0,0,0,0,0,-0.0084092973652559,0.0084092973652559,0,0,0,0,0,0,0,0,0
pJAK2,0,0,-0.089376281952175,0.089376281952175,0,0.0565934460000061,-0.0565934460000061,0,-6.21003203563315,6.21003203563315,0,0,0,0,0,0
SHP1,0,0,0,0,0,7.30600113444631e-05,-7.30600113444631e-05,0,0.000922680115521619,-0.000922680115521619,0,0,0,0,0,0
STAT5,0,0,0,0,0,0,0,0,-0.00449464518759176,0.00449464518759176,0,0,0,0,0,0
pSTAT5,0,0,0,0,0,0,0,0,0.0312486719999897,-0.0312486719999897,0.00215825999999991,0,0,0,8.21752000000023e-05,0
SOCS3mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18323864584723,0,0
DecoyR,0,0,0,0,0,0,0,0,0,0,0,-0.000281745614999995,0.000281745614999995,0,0,0
IL13_DecoyR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCS3,0,0,0,0,0,0.00037890185782637,-0.00037890185782637,0,0,0,0,0,0,-0.04291859999999,0,0
CD274mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
