"Probename"	"Gene Symbol"	"sh-GFP"	"sh-JAK2-shRNA1"	"sh-JAK2-shRNA2"	"shRNA-control"
"1007_s_at"	"DDR1"	22.3775605166667	23.2196516433333	24.3331346666667	23.21071048
"1053_at"	"RFC2"	413.356798066667	448.717006933333	509.220848566667	417.8953876
"117_at"	"HSPA6"	23.06623405	23.1589853433333	22.82472567	23.39549537
"121_at"	"PAX8"	81.1464438766667	78.91876679	81.5079746166667	70.2777628866667
"1255_g_at"	"GUCA1A"	18.1841184633333	19.2336490566667	18.5798581733333	17.64638343
"1294_at"	"UBE1L"	404.462307333333	459.827984366667	531.429872833333	384.3481403
"1316_at"	"THRA"	21.4385808966667	22.1959357966667	22.18542251	22.0693653566667
"1320_at"	"PTPN21"	18.0238817533333	18.3806628033333	18.4683695766667	17.91967467
"1405_i_at"	"CCL5"	16.43949171	17.04598146	17.6894975066667	15.77483803
"1431_at"	"CYP2E1"	19.10720405	18.6723800733333	20.17071974	18.8474219333333
"1438_at"	"EPHB3"	20.2569219933333	21.7482545533333	21.1571214633333	21.5816021866667
"1487_at"	"ESRRA"	71.2288691333333	72.6440537433333	77.3461631133333	71.7039097466667
"1494_f_at"	"CYP2A6"	22.4743342633333	23.41394836	22.9890703	23.85341906
"1598_g_at"	"GAS6"	36.1199336333333	34.24498701	29.9291020266667	37.10304985
"160020_at"	"MMP14"	77.4595841033333	72.4287336966667	77.3387473433333	69.71357778
"1729_at"	"TRADD"	78.54992186	79.0038659866667	82.9020237133333	72.0507112566667
"1773_at"	"FNTB"	111.773025883333	116.795987266667	126.076859533333	108.8049523
"177_at"	"PLD1"	27.76677812	29.0770602766667	30.8441450433333	28.02481681
"179_at"	"PMS2L11"	57.30762423	70.4402724666667	66.5876234	56.9435113333333
"1861_at"	"BAD"	96.7417185333333	108.044035283333	130.356810233333	93.6263876533333
"200000_s_at"	"PRPF8"	1253.47844933333	1228.56723066667	1384.86021766667	1226.37426433333
"200001_at"	"CAPNS1"	2100.88948866667	2399.229446	2756.67131	2088.66824166667
"200002_at"	"RPL35"	5655.09803766667	5390.415292	6234.03540966667	5485.44406566667
"200003_s_at"	"RPL28"	17338.23508	17292.8240066667	18450.3264533333	17364.76214
"200004_at"	"EIF4G2"	4863.73688966667	4529.92105133333	4740.81404066667	4810.70293366667
"200005_at"	"EIF3S7"	2762.68737433333	2747.759117	3061.335238	2791.192155
"200006_at"	"PARK7"	8974.32222566667	8925.91643466667	9567.839802	9204.246778
"200007_at"	"SRP14"	3871.220914	3912.45411666667	3921.54812	3859.905378
"200008_s_at"	"GDI2"	3963.24313666667	4009.45215466667	3755.67433933333	4057.96146933333
"200009_at"	"GDI2"	7646.775176	7968.46210533333	8282.49714466667	8109.665903
"200010_at"	"RPL11"	11097.8416133333	11161.19739	10743.1207733333	11541.1783933333
"200011_s_at"	"ARF3"	1878.49547266667	2015.97486466667	2404.08128666667	1860.92092933333
"200012_x_at"	"RPL21"	21184.6239966667	20614.7064433333	21603.4015133333	21164.6544733333
"200013_at"	"RPL24"	13126.1108833333	12829.5245366667	13570.69299	13609.5736533333
"200014_s_at"	"HNRPC"	2806.01625133333	2867.32664266667	3188.30627766667	2886.629433
"200015_s_at"	"Septin 2"	1960.15089566667	1789.77454266667	1789.01448166667	1830.826976
"200016_x_at"	"HNRPA1"	13601.67989	13798.9346333333	13551.14874	13732.2282266667
"200017_at"	"RPS27A"	14360.2093933333	12880.8204066667	13548.9805566667	13193.2409066667
"200018_at"	"RPS13"	13303.91154	12316.0031733333	13289.6615033333	12694.67539
"200019_s_at"	"FAU"	12106.3162833333	12204.9293566667	14119.71867	12034.68201
"200020_at"	"TARDBP"	2313.86978233333	2288.01695866667	2068.160396	2303.208544
"200021_at"	"CFL1"	17280.5302133333	16964.6340733333	18716.0045066667	17210.0822
"200022_at"	"RPL18"	12544.2243633333	12584.4988166667	13851.2389733333	12948.29455
"200023_s_at"	"EIF3S5"	3630.76264	3599.074241	4294.378753	3549.49350833333
"200024_at"	"RPS5"	12190.5615366667	11966.60163	13012.82597	11746.1174966667
"200025_s_at"	"RPL27"	12349.40961	11815.9162	12904.5699766667	12373.4890666667
"200026_at"	"RPL34 /// LOC342994"	13140.62843	12662.7069533333	13270.9474133333	13022.72138
"200027_at"	"NARS"	3832.48984966667	3463.84644433333	3540.64279633333	3708.97219433333
"200028_s_at"	"STARD7"	3277.39017533333	3177.939248	3245.485746	3359.114488
"200029_at"	"RPL19"	19975.1232033333	19823.5562866667	21677.8864233333	19869.24427
"200030_s_at"	"SLC25A3"	8357.97421633333	8513.23481433333	9185.43309433333	8701.160663
"200031_s_at"	"RPS11"	20420.92297	20266.3644666667	21867.0634833333	20334.6194766667
"200032_s_at"	"RPL9"	16151.90715	15684.77673	17453.5413	15622.7512966667
"200033_at"	"DDX5"	3356.71160733333	2978.41483633333	2989.97347333333	3341.93371566667
"200034_s_at"	"RPL6"	16832.86673	15967.6670333333	16583.2626066667	16554.54279
