xCol-Time-min	parCol-Stimulus	pIL4Ra_obs	stdCol-pIL4Ra_obs	pJAK2_obs	stdCol-pJAK2_obs	IL13-cell_obs	stdCol-IL13-cell_obs	RecSurf_obs	stdCol-RecSurf_obs	pSTAT5_obs	stdCol-pSTAT5_obs	CD274mRNA_obs	stdCol-CD274mRNA_obs			
0	1	NaN	NaN	NaN	NaN	8.493651325	19.2740477	1.73484056	0.126	NaN	NaN	0	0.588			
10	1	NaN	NaN	NaN	NaN	NaN	NaN	1.811225245	0.126	NaN	NaN	NaN	NaN			
15	1	NaN	NaN	NaN	NaN	5.560786617	18.83411799	NaN	NaN	NaN	NaN	NaN	NaN			
20	1	NaN	NaN	NaN	NaN	NaN	NaN	1.708659143	0.126	NaN	NaN	0.233669337	0.611366934			
30	1	NaN	NaN	NaN	NaN	5.865688394	18.87985326	1.85122823	0.126	NaN	NaN	NaN	NaN			
40	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16919478	0.604919478			
60	1	NaN	NaN	NaN	NaN	6.925585045	19.03883776	1.833001779	0.126	NaN	NaN	-0.358279604	0.55217204			
90	1	NaN	NaN	NaN	NaN	4.994540461	18.74918107	1.821890441	0.126	NaN	NaN	-0.210851184	0.566914882			
120	1	NaN	NaN	NaN	NaN	5.284923105	18.79273847	1.832557291	0.126	NaN	NaN	0.477217927	0.635721793			
0	2	0.216282964	0.154148301	0.305565791	0.445113158	NaN	NaN	1.825445875	0.126	2.064794511	6.476479451	NaN	NaN			
3	2	NaN	NaN	0.574720104	0.498944021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
5	2	0.443676078	0.245037328	1.207549635	0.625509927	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
6	2	NaN	NaN	0.799610579	0.543922116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
10	2	1.00841881	0.470764998	1.287183842	0.641436768	NaN	NaN	1.733065216	0.126	4.7420137	6.74420137	NaN	NaN			
15	2	1.054522194	0.489192521	0.749539786	0.533907957	73.30705754	28.99605863	NaN	NaN	NaN	NaN	NaN	NaN			
20	2	1.445411993	0.645431174	1.062415664	0.596483133	77.63375894	29.64506384	1.684705793	0.126	7.091715347	6.979171535	NaN	NaN			
25	2	0.94250839	0.444420604	0.63945059	0.511890118	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
30	2	1.36580361	0.613611703	1.538732025	0.691746405	81.80074988	30.27011248	1.646576527	0.126	15.26667893	7.796667893	NaN	NaN			
40	2	1.475333019	0.657390608	1.40408686	0.664817372	86.86792703	31.03018905	NaN	NaN	10.12549952	7.282549952	NaN	NaN			
45	2	NaN	NaN	1.763426902	0.73668538	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
50	2	0.933658811	0.440883427	0.620547912	0.508109582	77.31433803	29.5971507	NaN	NaN	NaN	NaN	NaN	NaN			
60	2	1.096797815	0.506090087	0.983279009	0.580655802	75.16550646	29.27482597	1.669185281	0.126	21.49320243	8.419320243	NaN	NaN			
75	2	NaN	NaN	0.956676943	0.575335389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
80	2	NaN	NaN	0.728108538	0.529621708	61.22713953	27.18407093	NaN	NaN	11.82972777	7.452972777	NaN	NaN			
90	2	NaN	NaN	0.856725621	0.555345124	NaN	NaN	1.591640714	0.126	NaN	NaN	NaN	NaN			
100	2	NaN	NaN	1.370579651	0.65811593	54.62093437	26.19314016	NaN	NaN	12.2968175	7.49968175	NaN	NaN			
120	2	NaN	NaN	0.804117345	0.544823469	46.70800732	25.0062011	1.622646804	0.126	5.199033243	6.789903324	NaN	NaN			
0	3	NaN	NaN	0.604359714	0.504871943	NaN	NaN	1.773466109	0.126	7.245689199	6.99456892	0	0.588			
5	3	NaN	NaN	2.969699631	0.977939926	208.102681	49.21540215	NaN	NaN	3.652181223	6.635218122	NaN	NaN			
10	3	NaN	NaN	3.839304725	1.151860945	190.0989571	46.51484356	1.555339648	0.126	20.1353212	8.28353212	NaN	NaN			
15	3	NaN	NaN	2.334485443	0.850897089	223.5074803	51.52612205	NaN	NaN	26.41592654	8.911592654	NaN	NaN			
20	3	NaN	NaN	2.571989824	0.898397965	212.5890929	49.88836393	1.469104941	0.126	36.3061717	9.90061717	0.202922577	0.608292258			
25	3	NaN	NaN	1.578614063	0.699722813	NaN	NaN	NaN	NaN	46.5101722	10.92101722	NaN	NaN			
30	3	NaN	NaN	1.574242638	0.698848528	217.1771387	50.5765708	1.525695643	0.126	34.33483686	9.703483686	NaN	NaN			
40	3	NaN	NaN	3.381799348	1.06035987	192.1025973	46.8153896	NaN	NaN	62.7	12.54	1.64902855	0.752902855			
45	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
50	3	NaN	NaN	1.388716271	0.661743254	201.844935	48.27674026	NaN	NaN	NaN	NaN	NaN	NaN			
60	3	NaN	NaN	1.809846633	0.745969327	189.648864	46.4473296	1.480153346	0.126	60.52509692	12.32250969	1.869752343	0.774975234			
80	3	NaN	NaN	1.428445413	0.669689083	174.1859882	44.12789823	NaN	NaN	21.14602164	8.384602164	NaN	NaN			
90	3	NaN	NaN	NaN	NaN	NaN	NaN	1.48589938	0.126	NaN	NaN	3.876642853	0.975664285			
